species,breed,age_group,disease,symptoms_list,key_signs,recommended_treatment,prevention
Cattle,Local,Adult,Mastitis,reduced_milk|abnormal_milk|swollen_udder|pain_on_palpation,reduced milk yield; abnormal milk,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Neonate,Dermatophilosis,crusting_skin_lesions|lameness|matted_hair|exudative_dermatitis|wet_skin,crusting skin lesions; lameness,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Neonate,Babesiosis,anemia|fever|hemoglobinuria,anemia; fever,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Senior,Blackleg,sudden_death|severe_lameness|swollen_muscle,sudden death; severe lameness,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Adult,Orf (Contagious Ecthyma),weight_loss|lamb_kid_mortality|scabby_lesions_mouth,weight loss; lamb kid mortality,Supportive care; topical antiseptics; live vaccines for flocks/herds where available.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Juvenile,Orf (Contagious Ecthyma),lamb_kid_mortality|weight_loss|scabby_lesions_mouth,lamb kid mortality; weight loss,Supportive care; topical antiseptics; live vaccines for flocks/herds where available.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Berkshire,Senior,Brucellosis,reduced_fertility|abortions|retained_placenta,reduced fertility; abortions,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Merino,Adult,Tick-bite toxicosis,sudden_weakness|anemia|salivation,sudden weakness; anemia,Remove ticks; supportive care; acaricides; symptomatic treatment.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Landrace,Senior,Foot-and-Mouth Disease,lameness|blisters_mouth_feet|excess_salivation|fever,lameness; vesicles/blisters on mouth/feet,No specific treatment; supportive care; strict movement controls; vaccination campaigns; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Kalahari,Juvenile,Parasitic Gastroenteritis,diarrhoea|anorexia|sudden_death,diarrhoea; reduced appetite/anorexia,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Juvenile,Dermatophilosis,crusting_skin_lesions|matted_hair|wet_skin|exudative_dermatitis|lameness,crusting skin lesions; matted hair,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Friesian,Senior,Lumpy Skin Disease,skin_nodules|lameness|fever|swollen_lymph_nodes|reduced_milk,skin nodules; lameness,Supportive care; symptomatic treatment; vaccination and vector control.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Local,Senior,Parasitic Gastroenteritis,diarrhoea|weight_loss|poor_condition|anorexia|bottle_jaw,diarrhoea; weight loss,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Hereford,Juvenile,Theileriosis,drooling|anorexia|respiratory_distress,drooling/ptyalism; reduced appetite/anorexia,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Layers,Neonate,Coccidiosis,weight_loss|dehydration|anorexia|diarrhoea,weight loss; dehydration,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Juvenile,Brucellosis,retained_placenta|reduced_fertility|orchitis|abortions,retained placenta; reduced fertility,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Poultry,Broilers,Neonate,Avian Influenza (HPAI),sudden_death|swelling_head|greenish_diarrhoea|drop_in_egg_production,sudden death; swelling of head,No treatment; culling; strict biosecurity; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Kalahari,Juvenile,Parasitic Gastroenteritis,diarrhoea|poor_condition|weight_loss,diarrhoea; poor condition,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Hereford,Adult,Anaplasmosis,weakness|progressive_anemia|fever|weight_loss|ticks_observed,weakness; progressive anemia,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Juvenile,Rabies (spillover),neurological_signs|behavioural_changes|hypersalivation|aggression|paralysis,neurological signs / paralysis; behavioural changes,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Dorper,Senior,Coccidiosis,anorexia|dehydration,reduced appetite/anorexia; dehydration,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Neonate,Blackleg,severe_lameness|sudden_death,severe lameness; sudden death,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Adult,Blackleg,severe_lameness|swollen_muscle|sudden_death,severe lameness; swollen muscle,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Senior,Anaplasmosis,weight_loss|progressive_anemia|pale_mucous_membranes|weakness|fever,weight loss; progressive anemia,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Brahman,Senior,Parasitic Gastroenteritis,anorexia|poor_condition|diarrhoea|weight_loss|bottle_jaw,reduced appetite/anorexia; poor condition,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Local,Senior,Tick-bite toxicosis,anemia|sudden_weakness|lameness|salivation|ticks_observed,anemia; sudden weakness,Remove ticks; supportive care; acaricides; symptomatic treatment.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Neonate,Tick-bite toxicosis,salivation|sudden_weakness,salivation; sudden weakness,Remove ticks; supportive care; acaricides; symptomatic treatment.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Juvenile,Coccidiosis,dehydration|diarrhoea|weight_loss,dehydration; diarrhoea,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Neonate,Tick-bite toxicosis,anemia|salivation|sudden_weakness|sudden_death,anemia; salivation,Remove ticks; supportive care; acaricides; symptomatic treatment.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Layers,Senior,Newcastle Disease,respiratory_distress|drop_in_egg_production,respiratory distress; drop in egg production,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.
Dog,Crossbreed,Neonate,Rabies (spillover),hypersalivation|paralysis|behavioural_changes|neurological_signs,hypersalivation; paralysis,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Angus,Senior,Dermatophilosis,matted_hair|lameness|crusting_skin_lesions|wet_skin,matted hair; lameness,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Landrace,Neonate,African Swine Fever,high_fever|hemorrhages,high fever; hemorrhages,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Local,Adult,Blackleg,sudden_death|severe_lameness,sudden death; severe lameness,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Juvenile,Rabies (spillover),paralysis|hypersalivation,paralysis; hypersalivation,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Local,Senior,Tick-bite toxicosis,sudden_weakness|lameness|ticks_observed,sudden weakness; lameness,Remove ticks; supportive care; acaricides; symptomatic treatment.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Friesian,Senior,Tick-bite toxicosis,sudden_weakness|lameness,sudden weakness; lameness,Remove ticks; supportive care; acaricides; symptomatic treatment.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Brahman,Adult,Anaplasmosis,weakness|weight_loss|progressive_anemia,weakness; weight loss,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Berkshire,Senior,African Swine Fever,abortions|hemorrhages|high_fever|sudden_death|anorexia,abortions; hemorrhages,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Merino,Juvenile,Blackleg,sudden_death|swollen_muscle,sudden death; swollen muscle,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Adult,Blackleg,swollen_muscle|severe_lameness,swollen muscle; severe lameness,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Hereford,Neonate,Coccidiosis,anorexia|diarrhoea|weight_loss,reduced appetite/anorexia; diarrhoea,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Local,Senior,Dermatophilosis,exudative_dermatitis|crusting_skin_lesions|matted_hair|lameness|wet_skin,exudative dermatitis; crusting skin lesions,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Adult,Brucellosis,reduced_fertility|abortions|retained_placenta,reduced fertility; abortions,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Dorper,Juvenile,Rabies (spillover),paralysis|aggression|sudden_death,paralysis; aggression,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Katahdin,Neonate,Theileriosis,drooling|respiratory_distress|lymph_node_enlargement|anorexia|ticks_observed,drooling/ptyalism; respiratory distress,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Friesian,Senior,Mastitis,reduced_milk|pain_on_palpation|abnormal_milk,reduced milk yield; pain on palpation,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Brahman,Adult,Anaplasmosis,progressive_anemia|pale_mucous_membranes|fever,progressive anemia; pale mucous membranes,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Local,Adult,Dermatophilosis,wet_skin|lameness|matted_hair|crusting_skin_lesions|exudative_dermatitis,wet skin; lameness,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Local,Adult,Brucellosis,abortions|reduced_fertility|retained_placenta|orchitis,abortions; reduced fertility,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Local,Juvenile,Anaplasmosis,weakness|fever,weakness; fever,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Neonate,Parasitic Gastroenteritis,anorexia|diarrhoea,reduced appetite/anorexia; diarrhoea,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Senior,Parasitic Gastroenteritis,bottle_jaw|anorexia|diarrhoea,bottle jaw; reduced appetite/anorexia,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Senior,Rabies (spillover),neurological_signs|paralysis|aggression|hypersalivation|behavioural_changes,neurological signs / paralysis; paralysis,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Local,Juvenile,Mannheimiosis (Pasteurellosis),fever|nasal_discharge|coughing|anorexia|respiratory_distress,fever; nasal discharge,"Antibiotics (e.g., tetracyclines, macrolides) based on vet guidance; supportive care; vaccination where available.",Good husbandry; vaccination where available; vector control where relevant.
Goat,Local,Juvenile,Theileriosis,anorexia|drooling|respiratory_distress|icterus|ticks_observed,reduced appetite/anorexia; drooling/ptyalism,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Juvenile,Theileriosis,fever|anorexia|icterus|drooling,fever; reduced appetite/anorexia,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Adult,Blackleg,severe_lameness|swollen_muscle|sudden_death,severe lameness; swollen muscle,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bali,Juvenile,Theileriosis,lymph_node_enlargement|drooling|anorexia|fever,lymph node enlargement; drooling/ptyalism,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Juvenile,Blackleg,severe_lameness|swollen_muscle,severe lameness; swollen muscle,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Indigenous,Neonate,Coccidiosis,dehydration|weight_loss|anorexia|diarrhoea,dehydration; weight loss,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Neonate,Mastitis,swollen_udder|abnormal_milk,swollen udder; abnormal milk,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Adult,Brucellosis,orchitis|abortions|reduced_fertility|sudden_death,orchitis; abortions,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Friesian,Juvenile,Lumpy Skin Disease,reduced_milk|fever|skin_nodules|lameness,reduced milk yield; fever,Supportive care; symptomatic treatment; vaccination and vector control.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Bali,Neonate,Theileriosis,lymph_node_enlargement|respiratory_distress|anorexia,lymph node enlargement; respiratory distress,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Brahman,Senior,Parasitic Gastroenteritis,bottle_jaw|poor_condition|anorexia|diarrhoea|weight_loss,bottle jaw; poor condition,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Senior,Orf (Contagious Ecthyma),weight_loss|lamb_kid_mortality,weight loss; lamb kid mortality,Supportive care; topical antiseptics; live vaccines for flocks/herds where available.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Local,Juvenile,Parasitic Gastroenteritis,diarrhoea|weight_loss|bottle_jaw|poor_condition|anorexia,diarrhoea; weight loss,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Adult,Parasitic Gastroenteritis,weight_loss|bottle_jaw|anorexia|poor_condition,weight loss; bottle jaw,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Berkshire,Senior,African Swine Fever,anorexia|high_fever,reduced appetite/anorexia; high fever,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Hereford,Senior,Lumpy Skin Disease,swollen_lymph_nodes|reduced_milk|skin_nodules|fever,swollen lymph nodes; reduced milk yield,Supportive care; symptomatic treatment; vaccination and vector control.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Boer,Juvenile,Babesiosis,fever|anorexia,fever; reduced appetite/anorexia,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Senior,Anaplasmosis,progressive_anemia|weight_loss|pale_mucous_membranes|fever|weakness|ticks_observed,progressive anemia; weight loss,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Senior,Dermatophilosis,exudative_dermatitis|lameness,exudative dermatitis; lameness,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Senior,Anaplasmosis,pale_mucous_membranes|progressive_anemia,pale mucous membranes; progressive anemia,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Friesian,Adult,Theileriosis,anorexia|lymph_node_enlargement|respiratory_distress|icterus|fever,reduced appetite/anorexia; lymph node enlargement,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Juvenile,Parasitic Gastroenteritis,bottle_jaw|poor_condition|diarrhoea,bottle jaw; poor condition,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Neonate,Coccidiosis,diarrhoea|weight_loss|dehydration,diarrhoea; weight loss,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Local,Juvenile,Anaplasmosis,pale_mucous_membranes|progressive_anemia,pale mucous membranes; progressive anemia,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Neonate,Parasitic Gastroenteritis,bottle_jaw|weight_loss|diarrhoea,bottle jaw; weight loss,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Sanga,Neonate,Theileriosis,drooling|icterus|fever|respiratory_distress|ticks_observed,drooling/ptyalism; jaundice/icterus,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Hereford,Senior,Anaplasmosis,weight_loss|weakness|progressive_anemia,weight loss; weakness,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Senior,Babesiosis,hemoglobinuria|anemia|ticks_observed,red/brown urine (hemoglobinuria); anemia,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Neonate,Mastitis,pain_on_palpation|abnormal_milk,pain on palpation; abnormal milk,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Sanga,Senior,Babesiosis,anorexia|hemoglobinuria|anemia|ticks_observed,reduced appetite/anorexia; red/brown urine (hemoglobinuria),Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Friesian,Neonate,Foot-and-Mouth Disease,lameness|blisters_mouth_feet|fever|reduced_appetite,lameness; vesicles/blisters on mouth/feet,No specific treatment; supportive care; strict movement controls; vaccination campaigns; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Pig,Large White,Adult,African Swine Fever,hemorrhages|abortions|anorexia,hemorrhages; abortions,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Poultry,Broilers,Senior,Coccidiosis,weight_loss|diarrhoea|dehydration,weight loss; diarrhoea,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Berkshire,Senior,African Swine Fever,hemorrhages|anorexia|abortions,hemorrhages; reduced appetite/anorexia,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Local,Juvenile,Tick-bite toxicosis,lameness|sudden_weakness|anemia|salivation|sudden_death,lameness; sudden weakness,Remove ticks; supportive care; acaricides; symptomatic treatment.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Local,Neonate,African Swine Fever,anorexia|abortions|hemorrhages,reduced appetite/anorexia; abortions,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Pig,Local,Senior,Foot-and-Mouth Disease,reduced_appetite|excess_salivation,reduced appetite; excess salivation,No specific treatment; supportive care; strict movement controls; vaccination campaigns; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Boer,Neonate,Anaplasmosis,pale_mucous_membranes|weakness|progressive_anemia|ticks_observed,pale mucous membranes; weakness,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Adult,Parasitic Gastroenteritis,poor_condition|bottle_jaw,poor condition; bottle jaw,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Adult,Rabies (spillover),neurological_signs|behavioural_changes,neurological signs / paralysis; behavioural changes,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Bonsmara,Senior,Anthrax,bloody_diarrhoea|fever,bloody diarrhoea; fever,Immediate isolation; do NOT open carcass; notify authorities; vaccinate in risk areas; consult DVS for carcass disposal.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Boer cross,Neonate,Tick-bite toxicosis,sudden_weakness|anemia,sudden weakness; anemia,Remove ticks; supportive care; acaricides; symptomatic treatment.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Senior,Dermatophilosis,exudative_dermatitis|lameness|wet_skin|crusting_skin_lesions|ticks_observed,exudative dermatitis; lameness,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Local,Senior,Mastitis,abnormal_milk|pain_on_palpation|swollen_udder|reduced_milk,abnormal milk; pain on palpation,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Adult,Anaplasmosis,progressive_anemia|weight_loss|weakness|fever|pale_mucous_membranes,progressive anemia; weight loss,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Juvenile,Blackleg,swollen_muscle|severe_lameness|sudden_death,swollen muscle; severe lameness,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Local scavenging,Juvenile,Avian Influenza (HPAI),drop_in_egg_production|greenish_diarrhoea|swelling_head|sudden_death|respiratory_signs,drop in egg production; greenish diarrhoea,No treatment; culling; strict biosecurity; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Boer,Senior,Mastitis,swollen_udder|pain_on_palpation|abnormal_milk,swollen udder; pain on palpation,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Angus,Neonate,Babesiosis,weakness|fever|anemia|anorexia|hemoglobinuria,weakness; fever,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Angus,Juvenile,Anaplasmosis,pale_mucous_membranes|weakness|ticks_observed|sudden_death,pale mucous membranes; weakness,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Angus,Adult,Anaplasmosis,pale_mucous_membranes|fever|progressive_anemia|weight_loss|ticks_observed,pale mucous membranes; fever,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Juvenile,Coccidiosis,anorexia|diarrhoea|weight_loss,reduced appetite/anorexia; diarrhoea,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Neonate,Babesiosis,weakness|hemoglobinuria|anorexia|fever,weakness; red/brown urine (hemoglobinuria),Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Juvenile,Brucellosis,orchitis|retained_placenta|reduced_fertility|abortions,orchitis; retained placenta,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Boer,Neonate,Babesiosis,anemia|hemoglobinuria,anemia; red/brown urine (hemoglobinuria),Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Juvenile,Mastitis,pain_on_palpation|abnormal_milk,pain on palpation; abnormal milk,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Local,Senior,Rabies (spillover),hypersalivation|paralysis,hypersalivation; paralysis,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Dorper,Adult,Parasitic Gastroenteritis,bottle_jaw|diarrhoea,bottle jaw; diarrhoea,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Neonate,Blackleg,severe_lameness|swollen_muscle,severe lameness; swollen muscle,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bonsmara,Juvenile,Theileriosis,respiratory_distress|icterus,respiratory distress; jaundice/icterus,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Adult,Parasitic Gastroenteritis,bottle_jaw|anorexia|diarrhoea,bottle jaw; reduced appetite/anorexia,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Neonate,Theileriosis,anorexia|lymph_node_enlargement|drooling|ticks_observed,reduced appetite/anorexia; lymph node enlargement,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Adult,Parasitic Gastroenteritis,diarrhoea|weight_loss,diarrhoea; weight loss,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Hereford,Juvenile,Lumpy Skin Disease,swollen_lymph_nodes|lameness|fever|skin_nodules,swollen lymph nodes; lameness,Supportive care; symptomatic treatment; vaccination and vector control.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Local,Juvenile,Anaplasmosis,weakness|weight_loss|fever|progressive_anemia|pale_mucous_membranes,weakness; weight loss,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Angus,Senior,Theileriosis,fever|respiratory_distress,fever; respiratory distress,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Senior,Anaplasmosis,fever|weight_loss|progressive_anemia|weakness|pale_mucous_membranes,fever; weight loss,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
